"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.taskname","Answer.hitcode","Answer.instrument1","Answer.instrument2","Answer.instrument3","Answer.instrument4","Answer.instrument5","Answer.misccomments","Answer.musicexperience","Answer.musicrecency","Answer.notename","Answer.pianoexperience","Answer.pianorecency","Answer.piece1heard","Answer.piece1name","Answer.piece1played","Answer.piece2heard","Answer.piece2name","Answer.piece2played","Answer.readsongname","Answer.useragent","Approve","Reject"
"2JV5NQYN5F3QSFST2TDNMWYBDRK8CG","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","2PSOHOVR14IXCKE9IX8EMWA6E3X76Y","ALF9AAZGQP4K5","Submitted","Wed Feb 12 01:46:49 GMT 2014","Wed Feb 12 02:01:30 GMT 2014","Wed Feb 12 02:01:30 PST 2014","","","","881","0% (0/0)","0% (0/0)","0% (0/0)","8_1_qpun_v3","288065","guitar","drums","","","","would be kinda fun  if you didn't have to redo the mistaken lines.","9","4","","2","9","Yes","mary had a little lamb","Yes","Yes","nutcracker?","No","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2G4AZHHRRLFQSKZB4M81UHO9NYVEN2","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","2XM8LZ6R70G5J5K1HEUVO7WS9TMN7O","A347XXV5JH19PB","Submitted","Wed Feb 12 01:46:03 GMT 2014","Wed Feb 12 02:01:49 GMT 2014","Wed Feb 12 02:01:49 PST 2014","","","","946","100% (1/1)","0% (0/0)","0% (0/0)","8_0_gyfw_v3","329253","none","","","","","That was fun, thank you.","2","9","","1","1","Yes","Mary had a little lamb","Yes","Yes","Fur Elise","No","","Mozilla/5.0 (X11; CrOS armv7l 4731.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.62 Safari/537.36"
"22H6R70G5R9854VR49YW2STN7ULAQR","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","2TVNAB6BFMFFGUA62WKJPDGE9D0IVY","A309BLCQJHQULO","Submitted","Wed Feb 12 01:47:38 GMT 2014","Wed Feb 12 02:10:52 GMT 2014","Wed Feb 12 02:10:52 PST 2014","","","","1394","0% (0/0)","0% (0/0)","0% (0/0)","16_0_nqgc_v3","407532","","","","","","unique","2","9","","1","1","Yes","mary had a little lamb","No","No","","No","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2IKA1QP6AUC2Y9SUG8SXDV0FTIG70Y","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","2ADWSBRI8IUBUU6XHE8S3LB321F3FV","A27RRXL8KX16PF","Submitted","Wed Feb 12 01:51:14 GMT 2014","Wed Feb 12 02:07:26 GMT 2014","Wed Feb 12 02:07:26 PST 2014","","","","972","0% (0/0)","0% (0/0)","0% (0/0)","4_1_fkli_v3","377545","","","","","","","2","9","","1","1","Yes","","No","Yes","","No","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2S5FSVGULF39XO8UWBSF23NYW1F9NN","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","21JLFQ0ONNVR9XW5X45G1B764V8KTS","A6WK319U256SM","Submitted","Wed Feb 12 01:46:18 GMT 2014","Wed Feb 12 02:00:13 GMT 2014","Wed Feb 12 02:00:13 PST 2014","","","","835","100% (1/1)","0% (0/0)","0% (0/0)","32_1_suih_v3","249780","","","","","","","2","9","","1","1","Yes","mary had a little lamp","No","Yes","","No","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2K6H1XERSQV6YNXDQDK3RVWA42N08F","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","2ZNH8MZ9O9Z6CSGNV5QHRRRLWR590J","A3FYSDFRZF4T8","Submitted","Wed Feb 12 03:02:44 GMT 2014","Wed Feb 12 03:44:08 GMT 2014","Wed Feb 12 03:44:08 PST 2014","","","","2484","0% (0/0)","0% (0/0)","0% (0/0)","64_1_kshx_v3","365579","","","","","","","2","9","","1","1","Yes","Mary Had A Little Lamb","No","No","","No","","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"27IJG5TYMNCWQ7GXO4JS2HX1A1TIMG","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","2UIW618N46UX78PSES3E3NDS4TJQO4","A3LI0O659I8GFX","Submitted","Wed Feb 12 01:51:19 GMT 2014","Wed Feb 12 02:23:24 GMT 2014","Wed Feb 12 02:23:24 PST 2014","","","","1925","0% (0/0)","0% (0/0)","0% (0/0)","16_1_dtiz_v3","81758","drums","piano","","","","","9","3","F sharp","5","4","Yes","","Yes","Yes","","Yes","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
"2XXL6VCPWZ9RF986XQSSHSN3MBK9O2","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","254NHMVHVKCJSXD8B2VJH9KQD7135C","A2AAY4VT9L71SY","Submitted","Wed Feb 12 01:49:08 GMT 2014","Wed Feb 12 02:04:23 GMT 2014","Wed Feb 12 02:04:23 PST 2014","","","","915","0% (0/0)","0% (0/0)","0% (0/0)","1_0_pwjm_v3","484336","Saxophone","Bass","Guitar","","","","9","2","F#","2","4","Yes","","No","Yes","Midnight Sonata","Yes","Twinkle Twinkle","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2CUPWZ9RNDWIGRDGGNE3NTGUAL2SDZ","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","2Z9IT3HVWAVKA2EBSLT1H2Z9QRHEM4","A207IHY6GERCFO","Submitted","Wed Feb 12 01:53:13 GMT 2014","Wed Feb 12 02:26:40 GMT 2014","Wed Feb 12 02:26:40 PST 2014","","","","2007","0% (0/0)","0% (0/0)","0% (0/0)","64_0_rwoi_v3","255857","none","","","","","interesting how quickly I improved","2","9","","1","1","Yes","little lamb","No","Yes","don't know name","No","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"20I11K274J79CM8UA3E4GUXFLV9DF2","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","2D15SW6NG1FSVJABS6PFBFZSGM3IW9","AZ4AFEZS407LU","Submitted","Wed Feb 12 01:54:40 GMT 2014","Wed Feb 12 02:22:30 GMT 2014","Wed Feb 12 02:22:30 PST 2014","","","","1670","100% (1/1)","0% (0/0)","0% (0/0)","2_1_qfop_v3","296643","","","","","","none","2","2","","1","1","No","","No","No","","No","","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2HOUFBNFSVGUDBFXENN6XG1F1LS5JP","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","2WIU6L5OBVCITN9LD59JP7GUIBEGZ4","A2QAIIROYI52KO","Submitted","Wed Feb 12 01:51:09 GMT 2014","Wed Feb 12 02:09:53 GMT 2014","Wed Feb 12 02:09:53 PST 2014","","","","1124","0% (0/0)","0% (0/0)","0% (0/0)","32_0_haby_v3","236033","guitar","","","","","None,it was fun.","2","2","","2","3","Yes","Mary had a little lamb","No","Yes","The Godfather theme","No","","Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2WW4EGDHDM25D4UXWUN6REZ6XW8CM7","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:18 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:18 GMT 2014","","","2ERMAZHHRRLFIW0BWQIHBKHOQFGDMA","A3FKXJVH0K2E3E","Submitted","Wed Feb 12 01:48:26 GMT 2014","Wed Feb 12 02:17:15 GMT 2014","Wed Feb 12 02:17:15 PST 2014","","","","1729","0% (0/0)","0% (0/0)","0% (0/0)","2_0_hpos_v3","361617","none","","","","","Interesting task, a bit confusing at first","2","2","","1","1","Yes","","No","Yes","","No","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"28GNJ92NJKM0X7Y72P8Y62GTYRW8DG","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:19 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:19 GMT 2014","","","2THPSI2KYEPLKLJTTGD66J3ORIVMSI","AUQTHU5AOZVQC","Submitted","Wed Feb 12 03:03:12 GMT 2014","Wed Feb 12 03:34:34 GMT 2014","Wed Feb 12 03:34:34 PST 2014","","","","1882","0% (0/0)","0% (0/0)","0% (0/0)","1_1_kvtw_v3","3598","Piano","Electric keyboard","","","","I found this experiment to be a lot of fun, I really enjoyed it.","5","4","","5","9","Yes","Marry had a little lamb","No","Yes","","No","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"217EIB9BAWLSET1EEQOUN3MT09E2Z6","2D3VKI62NJQ2T3ENI4HHGBKLCZ4LTT","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 20 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Wed Feb 12 01:45:19 GMT 2014","1","BatchId:1415736;","3600","28800","Wed Feb 19 01:45:19 GMT 2014","","","2598MZ9O9Z6KO0BAJU8H1RLF70NA1U","A33EPJ1QJMZV10","Submitted","Wed Feb 12 01:46:57 GMT 2014","Wed Feb 12 02:03:51 GMT 2014","Wed Feb 12 02:03:51 PST 2014","","","","1014","0% (0/0)","0% (0/0)","0% (0/0)","4_0_jgit_v3","146699","Piano","","","","","Thanks!  My son has been taking piano lessons for the last six months, and I have slowly been learning bits and pieces along with him.","2","2","A sharp","2","2","Yes","Mary Had a Little Lamb","Yes","No","","No","","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"